"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","74.00","73.75","74.01","73.66","3.73M","0.16%"
"06/26/2023","73.88","73.78","73.91","73.26","8.95M","0.14%"
"06/23/2023","73.78","74.39","74.39","73.74","9.71M","-0.66%"
"06/22/2023","74.27","74.22","74.38","73.98","17.25M","0.58%"
"06/21/2023","73.84","73.54","74.08","73.26","13.63M","0.35%"
"06/20/2023","73.58","74.05","74.28","73.56","9.73M","-1.46%"
"06/16/2023","74.67","74.81","75.05","74.60","12.67M","0.12%"
"06/15/2023","74.58","74.10","74.75","73.96","16.24M","1.00%"
"06/14/2023","73.84","73.73","74.09","73.51","13.85M","0.61%"
"06/13/2023","73.39","72.99","73.50","72.89","8.38M","0.41%"
"06/12/2023","73.09","73.20","73.26","72.72","11.36M","-0.03%"
"06/09/2023","73.11","72.98","73.34","72.82","8.76M","-0.16%"
"06/08/2023","73.23","72.81","73.25","72.64","8.86M","0.69%"
"06/07/2023","72.73","72.50","72.93","72.28","13.60M","-0.33%"
"06/06/2023","72.97","73.41","73.55","72.55","10.80M","-0.50%"
"06/05/2023","73.34","73.50","74.03","73.21","9.63M","-0.37%"
"06/02/2023","73.61","72.64","73.66","72.62","14.72M","1.38%"
"06/01/2023","72.61","72.65","72.73","72.24","13.83M","-0.08%"
"05/31/2023","72.67","72.68","73.07","72.31","19.56M","0.11%"
"05/30/2023","72.59","73.00","73.18","72.35","22.76M","-1.14%"
"05/26/2023","73.43","73.11","73.54","72.86","15.53M","0.34%"
"05/25/2023","73.18","73.09","73.44","72.63","17.72M","-0.76%"
"05/24/2023","73.74","74.25","74.30","73.68","11.88M","-0.65%"
"05/23/2023","74.22","74.57","74.63","74.12","13.70M","-0.74%"
"05/22/2023","74.77","75.72","75.85","74.73","14.58M","-1.51%"
"05/19/2023","75.92","76.03","76.12","75.58","10.46M","0.07%"
"05/18/2023","75.87","75.96","76.06","75.41","10.76M","-0.49%"
"05/17/2023","76.24","76.48","76.49","75.77","10.89M","-0.05%"
"05/16/2023","76.28","76.82","76.82","76.17","11.29M","-0.84%"
"05/15/2023","76.93","77.24","77.34","76.59","8.65M","-0.25%"
"05/12/2023","77.12","76.90","77.14","76.74","7.01M","0.39%"
"05/11/2023","76.82","76.57","76.87","76.15","11.78M","0.30%"
"05/10/2023","76.59","76.73","77.06","76.06","12.26M","-0.16%"
"05/09/2023","76.71","76.96","76.96","76.57","6.94M","-0.31%"
"05/08/2023","76.95","76.91","77.05","76.69","8.02M","-0.30%"
"05/05/2023","77.18","76.59","77.24","76.50","10.48M","0.93%"
"05/04/2023","76.47","76.74","76.86","76.22","11.68M","-0.25%"
"05/03/2023","76.66","77.06","77.38","76.64","11.65M","-0.82%"
"05/02/2023","77.29","77.43","77.47","76.51","19.13M","-0.27%"
"05/01/2023","77.50","77.31","77.82","77.29","10.80M","0.08%"
"04/28/2023","77.44","77.23","77.58","77.04","9.76M","0.53%"
"04/27/2023","77.03","76.22","77.11","76.17","11.28M","1.12%"
"04/26/2023","76.18","76.42","76.71","76.14","8.77M","-0.78%"
"04/25/2023","76.78","76.86","77.37","76.69","12.18M","-0.13%"
"04/24/2023","76.88","76.57","76.93","76.57","8.72M","0.40%"
"04/21/2023","76.57","76.53","76.97","76.40","10.43M","0.72%"
"04/20/2023","76.02","75.57","76.26","75.53","7.33M","0.24%"
"04/19/2023","75.84","75.98","76.06","75.61","6.28M","-0.07%"
"04/18/2023","75.89","75.65","75.96","75.40","7.23M","0.30%"
"04/17/2023","75.66","75.33","75.67","75.24","9.68M","0.64%"
"04/14/2023","75.18","75.50","75.78","74.97","8.79M","-0.63%"
"04/13/2023","75.66","75.27","75.70","74.92","11.45M","0.56%"
"04/12/2023","75.24","75.57","75.82","75.14","10.38M","-0.45%"
"04/11/2023","75.58","75.50","75.79","75.44","12.94M","0.29%"
"04/10/2023","75.36","75.10","75.38","74.64","9.41M","0.00%"
"04/06/2023","75.36","75.23","75.49","74.91","8.62M","0.08%"
"04/05/2023","75.30","75.16","75.63","75.16","12.41M","0.47%"
"04/04/2023","74.95","75.07","75.39","74.79","7.26M","-0.20%"
"04/03/2023","75.10","74.76","75.26","74.48","9.60M","0.52%"
"03/31/2023","74.71","74.49","74.74","74.36","10.34M","0.81%"
"03/30/2023","74.11","74.09","74.30","73.88","10.73M","0.28%"
"03/29/2023","73.90","73.90","73.98","73.71","9.48M","0.56%"
"03/28/2023","73.49","73.47","73.89","73.39","11.59M","0.18%"
"03/27/2023","73.36","73.22","73.69","73.21","10.86M","0.53%"
"03/24/2023","72.97","71.94","73.04","71.86","12.35M","1.70%"
"03/23/2023","71.75","72.22","72.48","71.48","12.16M","-0.39%"
"03/22/2023","72.03","72.83","73.14","72.02","11.94M","-0.92%"
"03/21/2023","72.70","72.87","73.03","72.19","12.50M","-0.08%"
"03/20/2023","72.76","72.04","72.83","72.01","14.13M","0.90%"
