"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","1.3493","1.3536","1.3541","1.3465","","-0.27%"
"06/26/2023","1.3530","1.3518","1.3542","1.3501","","0.10%"
"06/23/2023","1.3517","1.3447","1.3533","1.3441","","0.52%"
"06/22/2023","1.3447","1.3405","1.3454","1.3396","","0.34%"
"06/21/2023","1.3401","1.3434","1.3453","1.3396","","-0.24%"
"06/20/2023","1.3433","1.3412","1.3456","1.3401","","0.17%"
"06/19/2023","1.3410","1.3376","1.3418","1.3368","","0.27%"
"06/16/2023","1.3374","1.3365","1.3388","1.3351","","0.07%"
"06/15/2023","1.3364","1.3411","1.3458","1.3360","","-0.34%"
"06/14/2023","1.3409","1.3420","1.3434","1.3381","","-0.07%"
"06/13/2023","1.3418","1.3435","1.3447","1.3367","","-0.13%"
"06/12/2023","1.3435","1.3436","1.3451","1.3411","","0.01%"
"06/09/2023","1.3433","1.3426","1.3448","1.3417","","0.06%"
"06/08/2023","1.3425","1.3486","1.3492","1.3423","","-0.46%"
"06/07/2023","1.3487","1.3484","1.3499","1.3442","","0.04%"
"06/06/2023","1.3481","1.3493","1.3508","1.3471","","-0.08%"
"06/05/2023","1.3492","1.3513","1.3528","1.3482","","-0.02%"
"06/02/2023","1.3495","1.3480","1.3509","1.3431","","0.13%"
"06/01/2023","1.3478","1.3520","1.3553","1.3468","","-0.28%"
"05/31/2023","1.3516","1.3506","1.3563","1.3502","","0.11%"
"05/30/2023","1.3501","1.3537","1.3557","1.3493","","-0.25%"
"05/29/2023","1.3535","1.3522","1.3539","1.3507","","0.11%"
"05/26/2023","1.3520","1.3545","1.3557","1.3501","","-0.17%"
"05/25/2023","1.3543","1.3494","1.3554","1.3486","","0.36%"
"05/24/2023","1.3495","1.3475","1.3503","1.3451","","0.17%"
"05/23/2023","1.3472","1.3465","1.3490","1.3438","","0.07%"
"05/22/2023","1.3463","1.3453","1.3474","1.3426","","0.13%"
"05/19/2023","1.3445","1.3477","1.3497","1.3435","","-0.22%"
"05/18/2023","1.3474","1.3417","1.3492","1.3408","","0.43%"
"05/17/2023","1.3416","1.3403","1.3444","1.3395","","0.10%"
"05/16/2023","1.3402","1.3363","1.3407","1.3349","","0.31%"
"05/15/2023","1.3360","1.3379","1.3398","1.3356","","-0.17%"
"05/12/2023","1.3383","1.3317","1.3390","1.3304","","0.50%"
"05/11/2023","1.3316","1.3251","1.3324","1.3233","","0.51%"
"05/10/2023","1.3249","1.3275","1.3287","1.3225","","-0.18%"
"05/09/2023","1.3273","1.3248","1.3290","1.3242","","0.21%"
"05/08/2023","1.3245","1.3248","1.3264","1.3239","","0.00%"
"05/05/2023","1.3245","1.3283","1.3289","1.3238","","-0.26%"
"05/04/2023","1.3280","1.3302","1.3306","1.3263","","-0.17%"
"05/03/2023","1.3302","1.3346","1.3352","1.3270","","-0.31%"
"05/02/2023","1.3344","1.3364","1.3372","1.3341","","-0.13%"
"05/01/2023","1.3362","1.3345","1.3370","1.3311","","0.12%"
"04/28/2023","1.3346","1.3348","1.3381","1.3332","","0.01%"
"04/27/2023","1.3344","1.3357","1.3380","1.3338","","-0.07%"
"04/26/2023","1.3354","1.3384","1.3389","1.3327","","-0.24%"
"04/25/2023","1.3386","1.3335","1.3393","1.3317","","0.39%"
"04/24/2023","1.3334","1.3340","1.3367","1.3332","","-0.07%"
"04/21/2023","1.3343","1.3317","1.3365","1.3317","","0.17%"
"04/20/2023","1.3320","1.3345","1.3357","1.3302","","-0.17%"
"04/19/2023","1.3343","1.3324","1.3380","1.3311","","0.14%"
"04/18/2023","1.3325","1.3343","1.3348","1.3312","","-0.11%"
"04/17/2023","1.3340","1.3297","1.3360","1.3292","","0.32%"
"04/14/2023","1.3297","1.3218","1.3322","1.3204","","0.58%"
"04/13/2023","1.3220","1.3283","1.3284","1.3209","","-0.46%"
"04/12/2023","1.3281","1.3329","1.3338","1.3263","","-0.32%"
"04/11/2023","1.3324","1.3331","1.3335","1.3305","","0.00%"
"04/10/2023","1.3324","1.3292","1.3343","1.3282","","0.05%"
"04/07/2023","1.3318","1.3305","1.3330","1.3293","","0.15%"
"04/06/2023","1.3298","1.3278","1.3316","1.3276","","0.17%"
"04/05/2023","1.3276","1.3256","1.3298","1.3240","","0.14%"
"04/04/2023","1.3257","1.3270","1.3285","1.3252","","-0.08%"
"04/03/2023","1.3268","1.3313","1.3349","1.3260","","-0.29%"
"03/31/2023","1.3306","1.3276","1.3321","1.3254","","0.23%"
"03/30/2023","1.3275","1.3293","1.3316","1.3274","","-0.13%"
"03/29/2023","1.3292","1.3276","1.3311","1.3272","","0.14%"
"03/28/2023","1.3273","1.3311","1.3316","1.3270","","-0.28%"
"03/27/2023","1.3310","1.3325","1.3351","1.3306","","-0.04%"
"03/24/2023","1.3315","1.3262","1.3349","1.3254","","0.41%"
